tipo_vivienda,precio,habitaciones,banios,parqueos,direccion,metraje,detalles
apartamento,"US$ 78,000",1 habitaciones,1.5 baños,1 parqueos,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",52 Mt2,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Gazzebo, Gimnasio, Lobby, Piscina, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"US$ 88,400",1 habitaciones,1.5 baños,1 parqueos,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",68 Mt2,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Piscina, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"US$ 129,800",2 habitaciones,2.0 baños,2 parqueos,"El Vergel, Santo Domingo Centro (D.N.), Santo Domingo",98 Mt2,"1/2 Baño, Agua Potable, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Planta Eléctrica, Pozo, Terraza, Walk In Closet"
apartamento,"US$ 128,200",2 habitaciones,2.5 baños,2 parqueos,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",107 Mt2,"1/2 Baño, Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 131,000",2 habitaciones,2.5 baños,2 parqueos,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",94 Mt2,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Jacuzzi, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 80,800",2 habitaciones,1.0 baños,1 parqueos,"Arroyo Hondo, Santo Domingo Centro (D.N.), Santo Domingo",76 Mt2,"Agua Potable, Ascensor, Balcón, Cisterna, Control de Acceso, Seguridad 24 Horas, Terraza"
apartamento,"US$ 78,400",1 habitaciones,1.5 baños,1 parqueos,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",67 Mt2,"1/2 Baño, Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Ascensor, Control de Acceso, Gimnasio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,"US$ 80,000",1 habitaciones,1.5 baños,1 parqueos,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",56 Mt2,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Gimnasio, Lobby, Piscina, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"US$ 158,000",3 habitaciones,2.5 baños,2 parqueos,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",130 Mt2,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estudio, Gimnasio, Lobby, Piscina, Planta Eléctrica, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,"US$ 115,500",2 habitaciones,2.5 baños,1 parqueos,"Av. Independencia, Santo Domingo Centro (D.N.), Santo Domingo",84 Mt2,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gazzebo, Gimnasio, Jacuzzi, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Walk In Closet"
