tipo_vivienda,divisa,precio,habitaciones,banios,parqueos,direccion,metraje,detalles
apartamento,US$,"78,000",1,1.5,1,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",52,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Gazzebo, Gimnasio, Lobby, Piscina, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,US$,"88,400",1,1.5,1,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",68,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Piscina, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,US$,"129,800",2,2,2,"El Vergel, Santo Domingo Centro (D.N.), Santo Domingo",98,"1/2 Baño, Agua Potable, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Planta Eléctrica, Pozo, Terraza, Walk In Closet"
apartamento,US$,"128,200",2,2.5,2,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",107,"1/2 Baño, Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,US$,"131,000",2,2.5,2,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",94,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Jacuzzi, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Walk In Closet"
apartamento,US$,"80,800",2,1,1,"Arroyo Hondo, Santo Domingo Centro (D.N.), Santo Domingo",76,"Agua Potable, Ascensor, Balcón, Cisterna, Control de Acceso, Seguridad 24 Horas, Terraza"
apartamento,US$,"78,400",1,1.5,1,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",67,"1/2 Baño, Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Ascensor, Control de Acceso, Gimnasio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,US$,"80,000",1,1.5,1,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",56,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Gimnasio, Lobby, Piscina, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,US$,"158,000",3,2.5,2,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",130,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estudio, Gimnasio, Lobby, Piscina, Planta Eléctrica, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,US$,"115,500",2,2.5,1,"Av. Independencia, Santo Domingo Centro (D.N.), Santo Domingo",84,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gazzebo, Gimnasio, Jacuzzi, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Walk In Closet"
apartamento,US$,"147,000",3,3.5,2,"Av. Independencia, Santo Domingo Centro (D.N.), Santo Domingo",120,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Jacuzzi, Lobby, Planta Eléctrica, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,US$,"139,000",2,2.5,2,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",110,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Piscina, Planta Eléctrica, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,US$,"129,000",2,2,2,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",85,"Agua Potable, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Piscina, Planta Eléctrica, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,US$,"170,000",3,2.5,2,"Mirador Sur, Santo Domingo Centro (D.N.), Santo Domingo",144,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estudio, Gazzebo, Gimnasio, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,US$,"235,000",3,3.5,2,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",191,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estudio, Gimnasio, Jacuzzi, Lobby, Piscina, Planta Eléctrica, Pozo, Sauna, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,US$,"70,950",1,1.5,1,"Av. Independencia, Santo Domingo Centro (D.N.), Santo Domingo",56,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Gazzebo, Gimnasio, Jacuzzi, Lobby, Planta Eléctrica, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,US$,"102,000",2,2,1,"Mirador Sur, Santo Domingo Centro (D.N.), Santo Domingo",86,"Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Lobby, Planta Eléctrica, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,US$,"202,000",3,3.5,2,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",158,"1/2 Baño, Agua Potable, Aire Acondicionado, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estudio, Gazzebo, Gimnasio, Jacuzzi, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,US$,"97,000",1,1.5,1,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",67,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Gimnasio, Jacuzzi, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Walk In Closet"
apartamento,US$,"156,250",2,2.5,2,"Urbanizacion Real, Santo Domingo Centro (D.N.), Santo Domingo",110,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Ascensor, Balcón, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Piscina, Planta Eléctrica, Seguridad 24 Horas, Vestidores, Walk In Closet"
apartamento,US$,"160,000",2,2.5,2,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",111,"1/2 Baño, Agua Potable, Area de Juegos Infantiles, Area Servicio Independiente, Ascensor, Balcón, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Piscina, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,US$,"131,000",2,2.5,2,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",94,"1/2 Baño, Area de Juegos Infantiles, Ascensor, Balcón, Cisterna, Control de Acceso, Gimnasio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,US$,"138,150",2,2.5,2,"El Millon, Santo Domingo Centro (D.N.), Santo Domingo",110,"1/2 Baño, Agua Potable, Ascensor, Balcón, Control de Acceso, Cuarto de Servicio, Gimnasio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Terraza, Walk In Closet"
casa,RD$,"11,100,000",3,3.5,2,"Altos de Arroyo Hondo III, Santo Domingo Centro (D.N.), Santo Domingo",200,"Area Servicio Independiente, Balcón, Control de Acceso, Cuarto de Servicio, Estar Familiar, Estudio, Inversor, Patio, Seguridad 24 Horas, Walk In Closet"
apartamento,RD$,"5,800,000",2,2,2,"Arroyo Hondo Viejo, Santo Domingo Centro (D.N.), Santo Domingo",114,"Agua Potable, Ascensor, Balcón, Cisterna, Control de Acceso, Estudio, Lobby"
apartamento,US$,"525,000",3,3.5,3,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",375,"1/2 Baño, Ascensor, Cuarto de Servicio, Estudio, Family Room, Gimnasio, Lobby, Piscina, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
apartamento,US$,"123,000",2,2,2,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",96,"Ascensor, Gimnasio, Planta Eléctrica, Seguridad 24 Horas, Terraza"
apartamento,RD$,"5,800,000",2,2,1,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",125,"Cuarto de Servicio, Planta Eléctrica, Seguridad 24 Horas"
apartamento,RD$,"4,950,000",2,2,2,"Honduras, Santo Domingo Centro (D.N.), Santo Domingo",90,"Balcón, Cisterna, Inversor, Pozo, Seguridad 24 Horas, Terraza"
apartamento,US$,"152,000",3,3.5,2,"Bella Vista Norte, Santo Domingo Centro (D.N.), Santo Domingo",132,"Area de Juegos Infantiles, Ascensor, Cuarto de Servicio, Gimnasio, Lobby, Planta Eléctrica, Seguridad 24 Horas"
apartamento,US$,"179,000",3,3,2,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",180,"Control de Acceso, Lobby, Planta Eléctrica, Seguridad 24 Horas"
