"","tipo_vivienda","divisa","precio","habitaciones","banios","parqueos","direccion","metraje","detalles"
"1","apartamento","US$","155,500",2,2.5,2,"El Millon, Santo Domingo Centro (D.N.), Santo Domingo",112,"1/2 Baño, Agua Potable, Area Servicio Independiente, Ascensor, Control de Acceso, Gimnasio, Jacuzzi, Lobby, Planta Eléctrica, Seguridad 24 Horas, Terraza, Vestidores"
"2","apartamento","US$","138,150",2,2.5,2,"El Millon, Santo Domingo Centro (D.N.), Santo Domingo",146,"1/2 Baño, Agua Potable, Area Servicio Independiente, Ascensor, Control de Acceso, Gimnasio, Jacuzzi, Lobby, Planta Eléctrica, Seguridad 24 Horas, Terraza, Vestidores"
"3","apartamento","US$","140,000",3,2.5,2,"Bella Vista, Santo Domingo Centro (D.N.), Santo Domingo",132,"1/2 Baño, Ascensor, Balcón, Cuarto de Servicio, Planta Eléctrica, Seguridad 24 Horas"
"4","apartamento","US$","167,500",3,2,2,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",140,"Aire Acondicionado, Ascensor, Balcón, Cuarto de Servicio, Gimnasio, Lobby, Planta Eléctrica, Seguridad 24 Horas, Walk In Closet"
"5","apartamento","US$","475,000",3,3.5,3,"Renacimiento, Santo Domingo Centro (D.N.), Santo Domingo",315,"1/2 Baño, Agua Potable, Ascensor, Control de Acceso, Cuarto de Servicio, Estar Familiar, Gimnasio, Lobby, Planta Eléctrica, Pozo, Sauna, Seguridad 24 Horas, Walk In Closet"
"6","apartamento","US$","370,000",3,3,3,"Paraiso, Santo Domingo Centro (D.N.), Santo Domingo",207,"1/2 Baño, Agua Potable, Area Servicio Independiente, Balcón, Cuarto de Servicio, Gimnasio, Lobby, Piscina, Seguridad 24 Horas, Walk In Closet"
"7","apartamento","US$","650,000",3,3.5,3,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",395,"1/2 Baño, Area de Juegos Infantiles, Ascensor, Cisterna, Gimnasio, Piscina, Planta Eléctrica, Pozo"
"8","apartamento","US$","121,000",1,1.5,1,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",73,"Ascensor, Control de Acceso, Planta Eléctrica, Seguridad 24 Horas"
"9","apartamento","US$","155,000",2,2.5,1,"El Millon, Santo Domingo Centro (D.N.), Santo Domingo",115,"1/2 Baño, Area Servicio Independiente, Ascensor, Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Estar Familiar, Estudio, Lobby, Planta Eléctrica, Pozo, Seguridad 24 Horas, Terraza, Vestidores, Walk In Closet"
"10","apartamento","US$","125,000",3,2,2,"Costa Caribe, Santo Domingo Centro (D.N.), Santo Domingo",161,"Balcón, Cisterna, Control de Acceso, Cuarto de Servicio, Vestidores"
