"","x"
"1","https://www.supercasas.com//apartamentos-venta-el-millon/1204270/"
"2","https://www.supercasas.com//apartamentos-venta-el-millon/1204262/"
"3","https://www.supercasas.com//apartamentos-venta-bella-vista/1198763/"
"4","https://www.supercasas.com//apartamentos-venta-evaristo-morales/1216104/"
"5","https://www.supercasas.com//apartamentos-venta-y-alquiler-renacimiento/1200322/"
"6","https://www.supercasas.com//apartamentos-venta-paraiso/1203503/"
"7","https://www.supercasas.com//apartamentos-venta-piantini/1216102/"
"8","https://www.supercasas.com//apartamentos-venta-la-esperilla/1207744/"
"9","https://www.supercasas.com//apartamentos-venta-el-millon/1080274/"
"10","https://www.supercasas.com//apartamentos-venta-costa-caribe/1172591/"
"11","https://www.supercasas.com//apartamentos-venta-los-restauradores/1152412/"
"12","https://www.supercasas.com//apartamentos-venta-bella-vista/908994/"
"13","https://www.supercasas.com//apartamentos-venta-mirador-sur/1201766/"
"14","https://www.supercasas.com//apartamentos-venta-ave--nunez-de-caceres/1216100/"
"15","https://www.supercasas.com//apartamentos-venta-el-millon/1204253/"
"16","https://www.supercasas.com//apartamentos-venta-bella-vista/1216098/"
"17","https://www.supercasas.com//apartamentos-venta-renacimiento/1212039/"
"18","https://www.supercasas.com//apartamentos-venta-gazcue/1211887/"
"19","https://www.supercasas.com//apartamentos-venta-colina-de-los-rios/1213789/"
"20","https://www.supercasas.com//apartamentos-venta-altos-de-arroyo-hondo/1213783/"
"21","https://www.supercasas.com//apartamentos-venta-mirador-norte/1216095/"
"22","https://www.supercasas.com//apartamentos-venta-y-alquiler-piantini/1216094/"
"23","https://www.supercasas.com//apartamentos-venta-el-cacique/1212763/"
"24","https://www.supercasas.com//casas-venta-colina-de-los-rios/1202326/"
"25","https://www.supercasas.com//apartamentos-venta-bella-vista/1202172/"
"26","https://www.supercasas.com//apartamentos-venta-arroyo-hondo-viejo/1215438/"
"27","https://www.supercasas.com//casas-venta-colinas-del-seminario/1202173/"
"28","https://www.supercasas.com//apartamentos-venta-cuesta-brava/1203417/"
"29","https://www.supercasas.com//apartamentos-venta-piantini/1214220/"
"30","https://www.supercasas.com//apartamentos-venta-colina-de-los-rios/1212770/"
"31","https://www.supercasas.com//apartamentos-venta-colina-de-los-rios/1203418/"
"32","https://www.supercasas.com//apartamentos-venta-los-restauradores/1216093/"
"33","https://www.supercasas.com//apartamentos-venta-mirador-norte/1208651/"
"34","https://www.supercasas.com//casas-venta-los-restauradores/1209379/"
"35","https://www.supercasas.com//casas-venta-km-14-autopista-duarte/1208233/"
"36","https://www.supercasas.com//casas-venta-arroyo-hondo/1209350/"
"37","https://www.supercasas.com//apartamentos-venta-don-honorio/1213476/"
"38","https://www.supercasas.com//apartamentos-venta-el-millon/1214174/"
"39","https://www.supercasas.com//apartamentos-venta-el-millon/1209384/"
"40","https://www.supercasas.com//casas-venta-arroyo-hondo/1208407/"
"41","https://www.supercasas.com//apartamentos-venta-evaristo-morales/1208634/"
"42","https://www.supercasas.com//casas-venta-altos-de-las-praderas/1211418/"
"43","https://www.supercasas.com//casas-venta-maria-auxiliadora/1209946/"
"44","https://www.supercasas.com//apartamentos-venta-el-millon/1211570/"
"45","https://www.supercasas.com//apartamentos-venta-urbanizacion-real/1208589/"
"46","https://www.supercasas.com//apartamentos-venta-cuesta-brava/1212681/"
"47","https://www.supercasas.com//apartamentos-venta-don-honorio/1214172/"
"48","https://www.supercasas.com//apartamentos-venta-altos-de-arroyo-hondo/1209644/"
"49","https://www.supercasas.com//apartamentos-venta-don-honorio/1215422/"
"50","https://www.supercasas.com//apartamentos-venta-las-praderas/1213316/"
"51","https://www.supercasas.com//apartamentos-venta-fernandez/1209950/"
"52","https://www.supercasas.com//apartamentos-venta-y-alquiler-bella-vista/1208386/"
"53","https://www.supercasas.com//apartamentos-venta-arroyo-hondo/1215804/"
"54","https://www.supercasas.com//apartamentos-venta-piantini/1205835/"
"55","https://www.supercasas.com//apartamentos-venta-la-esperilla/1160681/"
"56","https://www.supercasas.com//apartamentos-venta-naco/1126708/"
"57","https://www.supercasas.com//apartamentos-venta-naco/1178620/"
"58","https://www.supercasas.com//casas-venta-el-millon/1193532/"
"59","https://www.supercasas.com//apartamentos-venta-el-millon/1208388/"
"60","https://www.supercasas.com//apartamentos-venta-mirador-sur/1214075/"
"61","https://www.supercasas.com//apartamentos-venta-los-pinos-de-arroyo-hondo/1191610/"
"62","https://www.supercasas.com//apartamentos-venta-serralles/1199257/"
"63","https://www.supercasas.com//apartamentos-venta-la-esperilla/1216087/"
"64","https://www.supercasas.com//apartamentos-venta-mirador-norte/1203997/"
"65","https://www.supercasas.com//apartamentos-venta-mirador-norte/1202349/"
"66","https://www.supercasas.com//apartamentos-venta-av--independencia/1194493/"
"67","https://www.supercasas.com//apartamentos-venta-naco/1194341/"
"68","https://www.supercasas.com//apartamentos-venta-evaristo-morales/1215978/"
"69","https://www.supercasas.com//casas-venta-villa-marina/1178704/"
"70","https://www.supercasas.com//apartamentos-venta-los-cacicazgos/1215497/"
"71","https://www.supercasas.com//apartamentos-venta-el-vergel/1181113/"
"72","https://www.supercasas.com//casas-venta-mirador-sur/1188875/"
"73","https://www.supercasas.com//apartamentos-venta-evaristo-morales/1212962/"
"74","https://www.supercasas.com//apartamentos-venta-bella-vista-norte/1181109/"
"75","https://www.supercasas.com//apartamentos-venta-la-esperilla/1193773/"
"76","https://www.supercasas.com//apartamentos-venta-anacaona/1192265/"
"77","https://www.supercasas.com//apartamentos-venta-evaristo-morales/1213709/"
"78","https://www.supercasas.com//apartamentos-venta-los-restauradores/1213707/"
"79","https://www.supercasas.com//apartamentos-venta-los-restauradores/1213706/"
"80","https://www.supercasas.com//apartamentos-venta-av--cayetano-germosen/1215059/"
"81","https://www.supercasas.com//apartamentos-venta-av--cayetano-germosen/1215057/"
"82","https://www.supercasas.com//apartamentos-venta-av--cayetano-germosen/1215055/"
"83","https://www.supercasas.com//apartamentos-venta-av--cayetano-germosen/1215054/"
"84","https://www.supercasas.com//apartamentos-venta-renacimiento/1215053/"
"85","https://www.supercasas.com//apartamentos-venta-renacimiento/1213675/"
"86","https://www.supercasas.com//apartamentos-venta-naco/1208728/"
"87","https://www.supercasas.com//apartamentos-venta-naco/1208726/"
"88","https://www.supercasas.com//apartamentos-venta-gala/1196986/"
"89","https://www.supercasas.com//apartamentos-venta-naco/1196958/"
"90","https://www.supercasas.com//apartamentos-venta-colinas-del-oeste/1196980/"
"91","https://www.supercasas.com//apartamentos-venta-naco/1196957/"
"92","https://www.supercasas.com//apartamentos-venta-colinas-del-oeste/1196978/"
"93","https://www.supercasas.com//apartamentos-venta-naco/1194952/"
"94","https://www.supercasas.com//apartamentos-venta-bella-vista/1210879/"
"95","https://www.supercasas.com//apartamentos-venta-evaristo-morales/1210871/"
"96","https://www.supercasas.com//apartamentos-venta-evaristo-morales/1210869/"
